,Trading_Volume,Volume_weighted_avg,Open_Price,Close_Price,Highest_Price,Lowest_Price,Timestamp_Unix_Msec,Number_Transactions,ticker
300,149674,1.0929,1.0905,1.0944,1.0952,1.0896,2023-11-20,149674,eurusd
301,158454,1.0941,1.09446,1.09166,1.0966,1.0899,2023-11-21,158454,eurusd
302,155842,1.0893,1.09168,1.08878,1.0923,1.0851,2023-11-22,155842,eurusd
303,104985,1.0906,1.08879,1.0902,1.09305,1.0886,2023-11-23,104985,eurusd
304,117352,1.092,1.09042,1.0948,1.0949,1.0893,2023-11-24,117352,eurusd
305,1928,1.0942,1.09371,1.09393,1.09471,1.09284,2023-11-26,1928,eurusd
306,143435,1.0944,1.09399,1.0959,1.096,1.0924,2023-11-27,143435,eurusd
307,162221,1.0969,1.0959,1.10041,1.1009,1.0933,2023-11-28,162221,eurusd
308,167203,1.0984,1.10041,1.0973,1.10173,1.0959,2023-11-29,167203,eurusd
309,173646,1.0925,1.0973,1.08916,1.0984,1.08775,2023-11-30,173646,eurusd
310,171854,1.0883,1.08917,1.0891,1.0914,1.08285,2023-12-01,171854,eurusd
311,3546,1.0888,1.08693,1.08855,1.08946,1.08648,2023-12-03,3546,eurusd
312,169079,1.0851,1.08854,1.08374,1.08863,1.0803,2023-12-04,169079,eurusd
313,173418,1.0817,1.08373,1.07933,1.08473,1.0777,2023-12-05,173418,eurusd
314,163748,1.0786,1.0794,1.07663,1.0805,1.0757,2023-12-06,163748,eurusd
315,189355,1.0781,1.07664,1.07892,1.08176,1.07549,2023-12-07,189355,eurusd
316,192427,1.0771,1.07899,1.0772,1.08006,1.07232,2023-12-08,192427,eurusd
317,1472,1.0763,1.07488,1.07647,1.07673,1.07488,2023-12-10,1472,eurusd
318,156558,1.076,1.0765,1.0765,1.0779,1.0741,2023-12-11,156558,eurusd
319,166789,1.0786,1.07654,1.0798,1.08282,1.0759,2023-12-12,166789,eurusd
320,181281,1.081,1.07982,1.08827,1.08966,1.0771,2023-12-13,181281,eurusd
321,229041,1.094,1.0883,1.09933,1.10091,1.0878,2023-12-14,229041,eurusd
322,198509,1.0944,1.09932,1.0907,1.1005,1.0876,2023-12-15,198509,eurusd
323,1662,1.0894,1.08898,1.08946,1.09007,1.08898,2023-12-17,1662,eurusd
324,163770,1.0917,1.08947,1.09227,1.0931,1.0893,2023-12-18,163770,eurusd
325,172771,1.0952,1.09233,1.09791,1.09874,1.0913,2023-12-19,172771,eurusd
326,169980,1.0957,1.09793,1.0944,1.09795,1.0928,2023-12-20,169980,eurusd
327,187282,1.0974,1.09432,1.10056,1.1013,1.0934,2023-12-21,187282,eurusd
