,Trading_Volume,Volume_weighted_avg,Open_Price,Close_Price,Highest_Price,Lowest_Price,Timestamp_Unix_Msec,Number_Transactions,shares,ticker
173,135571,3.7365,3.7,3.68,3.8199,3.61,2023-09-12 04:00:00,907,10101,luxh
174,42013,3.5946,3.66,3.52,3.7889,3.51,2023-09-13 04:00:00,317,10101,luxh
175,15576,3.5416,3.525,3.51,3.6,3.46,2023-09-14 04:00:00,160,10101,luxh
176,109615,3.4777,3.54,3.5,3.6035,3.4,2023-09-15 04:00:00,644,10101,luxh
177,59291,3.4668,3.59,3.43,3.59,3.42,2023-09-18 04:00:00,291,10101,luxh
178,47144,3.505,3.5,3.46,3.57,3.45,2023-09-19 04:00:00,303,10101,luxh
179,186891,3.6544,3.5488,3.51,3.7969,3.5,2023-09-20 04:00:00,794,10101,luxh
180,89487,3.4088,3.5,3.41,3.56,3.37,2023-09-21 04:00:00,437,10101,luxh
181,122426,3.6614,3.37,3.77,3.8,3.3687,2023-09-22 04:00:00,608,10101,luxh
182,94883,3.874,3.77,3.93,3.96,3.71,2023-09-25 04:00:00,587,10101,luxh
183,700284,4.3019,3.91,4.375,4.6,3.89,2023-09-26 04:00:00,2866,10101,luxh
184,111736,4.3141,4.43,4.23,4.4899,4.2,2023-09-27 04:00:00,855,10101,luxh
185,66003,4.2045,4.23,4.17,4.2673,4.1,2023-09-28 04:00:00,526,10101,luxh
186,212313,4.4807,4.44,4.66,4.66,4.31,2023-09-29 04:00:00,1199,10101,luxh
187,152757,4.5466,4.71,4.47,4.72,4.25,2023-10-02 04:00:00,1026,10101,luxh
188,151929,4.6414,4.4,4.75,4.85,4.23,2023-10-03 04:00:00,822,10101,luxh
189,550403,5.1234,4.78,5.22,5.2836,4.7473,2023-10-04 04:00:00,2984,10101,luxh
190,390212,5.201,5.16,5.37,5.45,4.95,2023-10-05 04:00:00,2297,10101,luxh
191,404047,5.5975,5.37,5.6,5.78,5.34,2023-10-06 04:00:00,1926,10101,luxh
192,572185,5.3939,5.58,5.52,5.76,4.8,2023-10-09 04:00:00,2537,10101,luxh
193,350161,5.2919,5.56,5.105,5.65,5.1,2023-10-10 04:00:00,1739,10101,luxh
194,424633,4.7634,5.18,4.5,5.19,4.46,2023-10-11 04:00:00,3085,10101,luxh
195,531667,4.1733,4.5,4.02,4.52,4.0101,2023-10-12 04:00:00,2739,10101,luxh
196,286196,4.3259,4.07,4.36,4.5703,4.07,2023-10-13 04:00:00,1499,10101,luxh
197,118394,4.3219,4.33,4.32,4.51,4.13,2023-10-16 04:00:00,901,10101,luxh
198,150613,4.0227,4.29,3.97,4.3,3.92,2023-10-17 04:00:00,1153,10101,luxh
199,110127,3.8636,3.92,3.9,4.0,3.73,2023-10-18 04:00:00,1085,10101,luxh
200,173674,4.039,3.87,4.08,4.14,3.84,2023-10-19 04:00:00,1345,10101,luxh
201,127428,4.0497,4.09,4.05,4.13,3.96,2023-10-20 04:00:00,1201,10101,luxh
202,102054,3.8591,3.99,3.73,4.07,3.69,2023-10-23 04:00:00,804,10101,luxh
203,234889,4.0188,3.74,4.05,4.38,3.74,2023-10-24 04:00:00,1631,10101,luxh
204,89581,3.8964,4.02,3.86,4.12,3.77,2023-10-25 04:00:00,639,10101,luxh
205,188371,3.968,3.82,3.99,4.16,3.7601,2023-10-26 04:00:00,1118,10101,luxh
206,192917,4.0423,4.0,4.17,4.2,3.82,2023-10-27 04:00:00,1485,10101,luxh
207,175327,4.0343,4.05,4.07,4.29,3.91,2023-10-30 04:00:00,1156,10101,luxh
208,122696,3.9383,4.07,4.055,4.07,3.76,2023-10-31 04:00:00,879,10101,luxh
209,108951,4.1144,4.03,4.21,4.21,3.9606,2023-11-01 04:00:00,960,10101,luxh
210,175784,4.417,4.275,4.55,4.57,4.15,2023-11-02 04:00:00,1296,10101,luxh
211,102373,4.5442,4.54,4.42,4.67,4.41,2023-11-03 04:00:00,933,10101,luxh
212,72183,4.4876,4.42,4.56,4.59,4.35,2023-11-06 05:00:00,880,10101,luxh
213,136552,4.4517,4.56,4.46,4.5662,4.3,2023-11-07 05:00:00,1073,10101,luxh
214,101960,4.3867,4.38,4.4,4.5471,4.2006,2023-11-08 05:00:00,948,10101,luxh
215,563825,4.9274,4.8,4.73,5.23,4.58,2023-11-09 05:00:00,3129,10101,luxh
216,239698,4.4802,4.7,4.48,4.73,4.4,2023-11-10 05:00:00,1282,10101,luxh
217,147067,4.3291,4.51,4.4,4.55,4.15,2023-11-13 05:00:00,1193,10101,luxh
218,169632,4.6636,4.35,4.7,4.75,4.35,2023-11-14 05:00:00,1774,10101,luxh
219,263767,4.9619,4.68,4.95,5.12,4.68,2023-11-15 05:00:00,2206,10101,luxh
220,251454,5.0522,4.89,5.1,5.18,4.77,2023-11-16 05:00:00,2377,10101,luxh
221,480775,5.2043,5.12,5.05,5.555,4.97,2023-11-17 05:00:00,4890,10101,luxh
222,201620,5.0094,5.05,4.98,5.1919,4.86,2023-11-20 05:00:00,1954,10101,luxh
223,198611,5.0502,4.93,5.08,5.14,4.9,2023-11-21 05:00:00,1935,10101,luxh
224,147470,5.1371,5.1,5.07,5.27,5.06,2023-11-22 05:00:00,1583,10101,luxh
225,74611,5.0364,5.07,4.95,5.17,4.89,2023-11-24 05:00:00,805,10101,luxh
226,132593,4.9847,4.86,4.99,5.05,4.85,2023-11-27 05:00:00,1451,10101,luxh
227,119316,4.7019,5.0,4.74,5.0,4.59,2023-11-28 05:00:00,1728,10101,luxh
228,137485,4.7554,4.68,4.7,4.84,4.663,2023-11-29 05:00:00,1657,10101,luxh
229,231580,4.4989,4.65,4.44,4.74,4.41,2023-11-30 05:00:00,2211,10101,luxh
230,313392,4.2559,4.505,4.14,4.54,4.01,2023-12-01 05:00:00,2712,10101,luxh
231,505420,4.2796,4.14,4.48,4.57,3.82,2023-12-04 05:00:00,3637,10101,luxh
232,194391,4.2131,4.36,4.27,4.46,4.14,2023-12-05 05:00:00,2021,10101,luxh
233,606032,4.5315,4.27,4.81,4.87,4.12,2023-12-06 05:00:00,4585,10101,luxh
234,479307,4.9755,4.82,4.69,5.25,4.68,2023-12-07 05:00:00,3471,10101,luxh
235,123883,4.5775,4.66,4.49,4.8799,4.4438,2023-12-08 05:00:00,1210,10101,luxh
236,151502,4.4053,4.44,4.55,4.55,4.25,2023-12-11 05:00:00,1274,10101,luxh
237,124095,4.3407,4.52,4.26,4.61,4.25,2023-12-12 05:00:00,1185,10101,luxh
238,235361,4.5767,4.29,4.64,4.73,4.29,2023-12-13 05:00:00,1934,10101,luxh
239,172627,4.8769,4.75,4.9,5.0,4.7,2023-12-14 05:00:00,1317,10101,luxh
240,211604,4.8521,4.92,4.87,4.99,4.704,2023-12-15 05:00:00,1397,10101,luxh
241,249452,4.7369,4.78,4.49,5.01,4.37,2023-12-18 05:00:00,2216,10101,luxh
242,100429,4.5945,4.35,4.68,4.72,4.35,2023-12-19 05:00:00,1478,10101,luxh
243,62552,4.6578,4.67,4.7,4.79,4.56,2023-12-20 05:00:00,1026,10101,luxh
244,214298,4.9805,4.8,5.16,5.16,4.68,2023-12-21 05:00:00,1613,10101,luxh
245,267430,5.2169,5.17,5.2,5.56,5.03,2023-12-22 05:00:00,1786,10101,luxh
246,219778,5.309,5.39,5.36,5.4,5.195,2023-12-26 05:00:00,1818,10101,luxh
247,581350,5.7554,5.35,5.97,6.25,5.33,2023-12-27 05:00:00,3735,10101,luxh
248,181408,5.9742,6.15,5.98,6.1991,5.8,2023-12-28 05:00:00,1561,10101,luxh
249,280419,5.9738,6.0,5.97,6.28,5.8,2023-12-29 05:00:00,3256,10101,luxh
250,341516,5.8226,6.04,5.68,6.3183,5.64,2024-01-02 05:00:00,3568,10101,luxh
251,170515,5.5833,5.6,5.56,5.74,5.4652,2024-01-03 05:00:00,1762,10101,luxh
252,219864,5.8907,5.58,6.01,6.01,5.558,2024-01-04 05:00:00,2357,10101,luxh
253,422219,6.1417,6.0,6.34,6.34,5.83,2024-01-05 05:00:00,3480,10101,luxh
254,684508,6.6073,6.46,6.61,6.88,6.45,2024-01-08 05:00:00,3968,10101,luxh
255,390036,6.2909,6.8,6.34,6.8,6.05,2024-01-09 05:00:00,3417,10101,luxh
256,313361,5.9781,6.37,5.71,6.43,5.7,2024-01-10 05:00:00,2925,10101,luxh
257,610579,5.2913,6.21,5.03,6.21,4.94,2024-01-11 05:00:00,4478,10101,luxh
258,800356,5.2757,5.48,5.21,5.51,4.85,2024-01-12 05:00:00,5226,10101,luxh
259,537048,4.8906,5.15,4.9,5.38,4.76,2024-01-16 05:00:00,5110,10101,luxh
260,1436275,4.5724,4.9,4.32,5.28,3.99,2024-01-17 05:00:00,9905,10101,luxh
261,1426402,3.6657,4.19,3.89,4.2,3.451,2024-01-18 05:00:00,8531,10101,luxh
262,514591,3.7626,3.81,3.95,3.97,3.52,2024-01-19 05:00:00,4161,10101,luxh
263,644319,4.1201,4.08,4.19,4.3194,3.87,2024-01-22 05:00:00,5508,10101,luxh
264,416072,4.301,4.3,4.27,4.4196,4.16,2024-01-23 05:00:00,3691,10101,luxh
265,521926,4.203,4.3,4.3,4.32,3.98,2024-01-24 05:00:00,3150,10101,luxh
266,430134,4.47,4.34,4.57,4.615,4.29,2024-01-25 05:00:00,3406,10101,luxh
267,288521,4.6669,4.57,4.82,4.89,4.49,2024-01-26 05:00:00,1711,10101,luxh
268,342272,4.666,4.85,4.66,4.85,4.54,2024-01-29 05:00:00,3319,10101,luxh
269,241947,4.3743,4.67,4.33,4.67,4.3,2024-01-30 05:00:00,1569,10101,luxh
270,335054,4.2846,4.45,4.16,4.47,4.16,2024-01-31 05:00:00,3570,10101,luxh
271,213136,4.2902,4.24,4.39,4.44,4.17,2024-02-01 05:00:00,1851,10101,luxh
272,295944,4.5218,4.42,4.49,4.65,4.26,2024-02-02 05:00:00,3132,10101,luxh
273,691778,3.7673,4.4,3.5,4.4293,3.405,2024-02-05 05:00:00,5163,10101,luxh
274,886584,3.0816,3.43,3.26,3.4799,2.72,2024-02-06 05:00:00,7888,10101,luxh
275,573131,2.8883,3.14,2.73,3.24,2.615,2024-02-07 05:00:00,4668,10101,luxh
276,599068,2.751,2.75,2.92,3.08,2.53,2024-02-08 05:00:00,4301,10101,luxh
277,232472,3.0732,2.9,3.14,3.22,2.801,2024-02-09 05:00:00,2906,10101,luxh
278,277318,3.4418,3.14,3.48,3.63,3.0213,2024-02-12 05:00:00,2499,10101,luxh
279,279823,3.1271,3.37,3.02,3.37,3.0,2024-02-13 05:00:00,2722,10101,luxh
280,249723,2.9218,3.07,2.94,3.15,2.8,2024-02-14 05:00:00,2762,10101,luxh
